Gene,pathways
RIB3,"['PATHWAY     sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
PAC11,['PATHWAY     sce04145  Phagosome']
PKH1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
VPS3,['PATHWAY     sce04138  Autophagy - yeast']
SEC20,['PATHWAY     sce04130  SNARE interactions in vesicular transport']
LCD1,['PATHWAY     sce04111  Cell cycle - yeast']
RPL37B,['PATHWAY     sce03010  Ribosome']
SAM2,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids', 'sce01240  Biosynthesis of cofactors']"
LPP1,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce01110  Biosynthesis of secondary metabolites']"
GIN4,['PATHWAY     sce04111  Cell cycle - yeast']
EMI2,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00051  Fructose and mannose metabolism', 'sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01250  Biosynthesis of nucleotide sugars']"
EUG1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
SPS1,['PATHWAY     sce04113  Meiosis - yeast']
AGE1,['PATHWAY     sce04144  Endocytosis']
QCR7,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
APA2,"['PATHWAY     sce00230  Purine metabolism', 'sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways']"
CAB1,"['PATHWAY     sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
HSP31,"['PATHWAY     sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways']"
PAD1,"['PATHWAY     sce00130  Ubiquinone and other terpenoid-quinone biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
WBP1,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
GLC3,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
UBC8,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
EDC3,['PATHWAY     sce03018  RNA degradation']
BUD16,"['PATHWAY     sce00750  Vitamin B6 metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
ECM10,['PATHWAY     sce03018  RNA degradation']
ANP1,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
RAD23,"['PATHWAY     sce03420  Nucleotide excision repair', 'sce04141  Protein processing in endoplasmic reticulum']"
UTR4,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce01100  Metabolic pathways']"
CYC7,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
GLY1,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
VMA8,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce04145  Phagosome']"
RPL12A,['PATHWAY     sce03010  Ribosome']
PCM1,"['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01250  Biosynthesis of nucleotide sugars']"
HPA3,"['PATHWAY     sce00470  D-Amino acid metabolism', 'sce01100  Metabolic pathways']"
HXT13,['PATHWAY     sce04113  Meiosis - yeast']
DLD3,"['PATHWAY     sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways']"
MNN1,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce00514  Other types of O-glycan biosynthesis', 'sce01100  Metabolic pathways']"
PMI40,"['PATHWAY     sce00051  Fructose and mannose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors', 'sce01250  Biosynthesis of nucleotide sugars']"
YND1,"['PATHWAY     sce00230  Purine metabolism', 'sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways']"
NUG1,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
PRE1,['PATHWAY     sce03050  Proteasome']
PRP22,['PATHWAY     sce03040  Spliceosome']
HEM14,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
FAA2,"['PATHWAY     sce00061  Fatty acid biosynthesis', 'sce00071  Fatty acid degradation', 'sce01100  Metabolic pathways', 'sce01212  Fatty acid metabolism', 'sce04146  Peroxisome']"
SBH2,"['PATHWAY     sce03060  Protein export', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04145  Phagosome']"
ISC1,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
GPA2,['PATHWAY     sce04113  Meiosis - yeast']
PRO3,"['PATHWAY     sce00330  Arginine and proline metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
YAT2,['PATHWAY     sce04146  Peroxisome']
SMB1,['PATHWAY     sce03040  Spliceosome']
YPT31,['PATHWAY     sce04144  Endocytosis']
PHM8,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce01100  Metabolic pathways']"
RSM18,['PATHWAY     sce03010  Ribosome']
HOM3,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00261  Monobactam biosynthesis', 'sce00270  Cysteine and methionine metabolism', 'sce00300  Lysine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
RPL34A,['PATHWAY     sce03010  Ribosome']
CEM1,"['PATHWAY     sce00061  Fatty acid biosynthesis', 'sce00780  Biotin metabolism', 'sce01100  Metabolic pathways', 'sce01212  Fatty acid metabolism', 'sce01240  Biosynthesis of cofactors']"
GPP2,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce01100  Metabolic pathways']"
ICL1,"['PATHWAY     sce00630  Glyoxylate and dicarboxylate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
MOT2,['PATHWAY     sce03018  RNA degradation']
ALD5,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00053  Ascorbate and aldarate metabolism', 'sce00071  Fatty acid degradation', 'sce00280  Valine, leucine and isoleucine degradation', 'sce00310  Lysine degradation', 'sce00330  Arginine and proline metabolism', 'sce00340  Histidine metabolism', 'sce00380  Tryptophan metabolism', 'sce00410  beta-Alanine metabolism', 'sce00561  Glycerolipid metabolism', 'sce00620  Pyruvate metabolism', 'sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
PTP3,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
SER3,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
ILV1,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00290  Valine, leucine and isoleucine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
SBH1,"['PATHWAY     sce03060  Protein export', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04145  Phagosome']"
AIM10,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
TRP2,"['PATHWAY     sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
MET6,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00450  Selenocompound metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
RAD51,['PATHWAY     sce03440  Homologous recombination']
PRS2,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
UBC6,"['PATHWAY     sce04120  Ubiquitin mediated proteolysis', 'sce04141  Protein processing in endoplasmic reticulum']"
SSA4,"['PATHWAY     sce03040  Spliceosome', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04144  Endocytosis', 'sce04213  Longevity regulating pathway - multiple species']"
NUP157,['PATHWAY     sce03013  Nucleocytoplasmic transport']
MAM1,['PATHWAY     sce04113  Meiosis - yeast']
GLE2,['PATHWAY     sce03013  Nucleocytoplasmic transport']
SWI4,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
LSM4,"['PATHWAY     sce03018  RNA degradation', 'sce03040  Spliceosome']"
GLO3,['PATHWAY     sce04144  Endocytosis']
SAK1,['PATHWAY     sce04138  Autophagy - yeast']
RPS26B,['PATHWAY     sce03010  Ribosome']
COX15,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
MAG1,['PATHWAY     sce03410  Base excision repair']
UBP5,['PATHWAY     sce04144  Endocytosis']
LSM5,"['PATHWAY     sce03018  RNA degradation', 'sce03040  Spliceosome']"
SCC4,['PATHWAY     sce04111  Cell cycle - yeast']
SPT15,['PATHWAY     sce03022  Basal transcription factors']
UBP3,['PATHWAY     sce04139  Mitophagy - yeast']
OXA1,['PATHWAY     sce03060  Protein export']
BEM2,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
RAD4,['PATHWAY     sce03420  Nucleotide excision repair']
GCG1,"['PATHWAY     sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
ADK2,"['PATHWAY     sce00230  Purine metabolism', 'sce00730  Thiamine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
RAD3,"['PATHWAY     sce03022  Basal transcription factors', 'sce03420  Nucleotide excision repair']"
BRR2,['PATHWAY     sce03040  Spliceosome']
RAD24,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
PDA1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00020  Citrate cycle (TCA cycle)', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
DMC1,['PATHWAY     sce04113  Meiosis - yeast']
BLM10,['PATHWAY     sce03050  Proteasome']
SMC1,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
CDC4,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
HXT10,['PATHWAY     sce04113  Meiosis - yeast']
GNA1,"['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01250  Biosynthesis of nucleotide sugars']"
SMX2,['PATHWAY     sce03040  Spliceosome']
LPD1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00020  Citrate cycle (TCA cycle)', 'sce00260  Glycine, serine and threonine metabolism', 'sce00280  Valine, leucine and isoleucine degradation', 'sce00310  Lysine degradation', 'sce00380  Tryptophan metabolism', 'sce00620  Pyruvate metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce00640  Propanoate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01240  Biosynthesis of cofactors']"
BST1,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
STE2,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
CAK1,['PATHWAY     sce04111  Cell cycle - yeast']
AGX1,"['PATHWAY     sce00250  Alanine, aspartate and glutamate metabolism', 'sce00260  Glycine, serine and threonine metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce04146  Peroxisome']"
RIM15,"['PATHWAY     sce04113  Meiosis - yeast', 'sce04138  Autophagy - yeast', 'sce04213  Longevity regulating pathway - multiple species']"
RPL22B,['PATHWAY     sce03010  Ribosome']
OTU1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
SEC53,"['PATHWAY     sce00051  Fructose and mannose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors', 'sce01250  Biosynthesis of nucleotide sugars']"
EMP47,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
DAK2,"['PATHWAY     sce00051  Fructose and mannose metabolism', 'sce00561  Glycerolipid metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01200  Carbon metabolism']"
THI5,"['PATHWAY     sce00730  Thiamine metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
SNZ3,"['PATHWAY     sce00750  Vitamin B6 metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
SNO3,"['PATHWAY     sce00750  Vitamin B6 metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
DDI2,['PATHWAY     sce00791  Atrazine degradation']
NIC96,['PATHWAY     sce03013  Nucleocytoplasmic transport']
RPN11,['PATHWAY     sce03050  Proteasome']
SAD1,['PATHWAY     sce03040  Spliceosome']
GSY1,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
ATG18,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast']"
HIS2,"['PATHWAY     sce00340  Histidine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
CDC14,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
MET10,"['PATHWAY     sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways']"
SMC2,['PATHWAY     sce04111  Cell cycle - yeast']
RPL29,['PATHWAY     sce03010  Ribosome']
QCR6,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
PHO4,['PATHWAY     sce04111  Cell cycle - yeast']
CDC26,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
DUG1,"['PATHWAY     sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
BNA6,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
PRE4,['PATHWAY     sce03050  Proteasome']
RPN12,['PATHWAY     sce03050  Proteasome']
HXK1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00051  Fructose and mannose metabolism', 'sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01250  Biosynthesis of nucleotide sugars']"
IRC7,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00450  Selenocompound metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
CDH1,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
PMA1,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
LEU1,"['PATHWAY     sce00290  Valine, leucine and isoleucine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
SCL1,['PATHWAY     sce03050  Proteasome']
ERG4,"['PATHWAY     sce00100  Steroid biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
CKB1,"['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes', 'sce04139  Mitophagy - yeast']"
STT3,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
TRP5,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
CWH41,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
RPL30,['PATHWAY     sce03010  Ribosome']
RPL24A,['PATHWAY     sce03010  Ribosome']
PNC1,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors', 'sce04213  Longevity regulating pathway - multiple species']"
OCH1,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
HEM2,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
RNA15,['PATHWAY     sce03015  mRNA surveillance pathway']
ALG13,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
RPT6,['PATHWAY     sce03050  Proteasome']
OLE1,"['PATHWAY     sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01212  Fatty acid metabolism']"
RAD6,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
PYC1,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
NPY1,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce04146  Peroxisome']"
MNP1,['PATHWAY     sce03010  Ribosome']
RPB9,['PATHWAY     sce03020  RNA polymerase']
MAD1,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
LIF1,['PATHWAY     sce03450  Non-homologous end-joining']
NUP145,['PATHWAY     sce03013  Nucleocytoplasmic transport']
PAN2,['PATHWAY     sce03018  RNA degradation']
VPS45,"['PATHWAY     sce04138  Autophagy - yeast', 'sce04144  Endocytosis']"
USE1,['PATHWAY     sce04130  SNARE interactions in vesicular transport']
LSG1,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
TAF6,['PATHWAY     sce03022  Basal transcription factors']
SNF4,['PATHWAY     sce04213  Longevity regulating pathway - multiple species']
MON1,['PATHWAY     sce04138  Autophagy - yeast']
MET13,"['PATHWAY     sce00670  One carbon pool by folate', 'sce01100  Metabolic pathways']"
HUL5,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
GPI10,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
RPL9A,['PATHWAY     sce03010  Ribosome']
PEX14,['PATHWAY     sce04146  Peroxisome']
LYS5,"['PATHWAY     sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways']"
AMS1,['PATHWAY     sce00511  Other glycan degradation']
RAD54,['PATHWAY     sce03440  Homologous recombination']
NUP49,['PATHWAY     sce03013  Nucleocytoplasmic transport']
XRN1,"['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes', 'sce03018  RNA degradation']"
TOS3,['PATHWAY     sce04138  Autophagy - yeast']
ATG1,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast', 'sce04139  Mitophagy - yeast']"
GTS1,['PATHWAY     sce04144  Endocytosis']
STR3,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00450  Selenocompound metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
COX4,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
CDC55,"['PATHWAY     sce03015  mRNA surveillance pathway', 'sce04111  Cell cycle - yeast']"
DSD1,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00470  D-Amino acid metabolism', 'sce01100  Metabolic pathways']"
MCM6,"['PATHWAY     sce03030  DNA replication', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
ARO8,"['PATHWAY     sce00130  Ubiquinone and other terpenoid-quinone biosynthesis', 'sce00270  Cysteine and methionine metabolism', 'sce00300  Lysine biosynthesis', 'sce00350  Tyrosine metabolism', 'sce00360  Phenylalanine metabolism', 'sce00380  Tryptophan metabolism', 'sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
POX1,"['PATHWAY     sce00071  Fatty acid degradation', 'sce00410  beta-Alanine metabolism', 'sce00592  alpha-Linolenic acid metabolism', 'sce00640  Propanoate metabolism', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01212  Fatty acid metabolism', 'sce04146  Peroxisome']"
CHC1,['PATHWAY     sce04144  Endocytosis']
YPT32,['PATHWAY     sce04144  Endocytosis']
NCS6,['PATHWAY     sce04122  Sulfur relay system']
VAM7,"['PATHWAY     sce04130  SNARE interactions in vesicular transport', 'sce04138  Autophagy - yeast']"
SKI8,['PATHWAY     sce03018  RNA degradation']
MDM34,['PATHWAY     sce04139  Mitophagy - yeast']
SDT1,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways']"
OST5,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
CSE1,['PATHWAY     sce03013  Nucleocytoplasmic transport']
DOC1,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
KAP114,['PATHWAY     sce03013  Nucleocytoplasmic transport']
GUS1,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce00970  Aminoacyl-tRNA biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
PDE1,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways']"
HXK2,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00051  Fructose and mannose metabolism', 'sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01250  Biosynthesis of nucleotide sugars']"
ADH4,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00071  Fatty acid degradation', 'sce00350  Tyrosine metabolism', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
MNT2,['PATHWAY     sce00514  Other types of O-glycan biosynthesis']
CUL3,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
PRP18,['PATHWAY     sce03040  Spliceosome']
ECT1,"['PATHWAY     sce00440  Phosphonate and phosphinate metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways']"
NMA2,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
MSB2,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
UGA1,"['PATHWAY     sce00250  Alanine, aspartate and glutamate metabolism', 'sce00280  Valine, leucine and isoleucine degradation', 'sce00410  beta-Alanine metabolism', 'sce00640  Propanoate metabolism', 'sce00650  Butanoate metabolism', 'sce01100  Metabolic pathways']"
VMA7,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce04145  Phagosome']"
MTL1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
RPS25A,['PATHWAY     sce03010  Ribosome']
POP6,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
GSC2,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce04011  MAPK signaling pathway - yeast']"
RPL26B,['PATHWAY     sce03010  Ribosome']
CAX4,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce01100  Metabolic pathways']"
KSS1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
NQM1,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
RME1,['PATHWAY     sce04113  Meiosis - yeast']
UFD1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
SPR3,['PATHWAY     sce04113  Meiosis - yeast']
ERG25,"['PATHWAY     sce00100  Steroid biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
ADE6,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
ROM1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
UPF3,"['PATHWAY     sce03013  Nucleocytoplasmic transport', 'sce03015  mRNA surveillance pathway']"
SMD1,['PATHWAY     sce03040  Spliceosome']
PRP38,['PATHWAY     sce03040  Spliceosome']
RPL11B,['PATHWAY     sce03010  Ribosome']
PDC6,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
